level,hull_nx,hull_nz,hull_panels,pressure_resistance_N,matrix_condition,bem_residual,hull_impermeability_residual,accepted
L0,3,2,8,-8.847089727481716e-17,14.454505415193818,2.3340573829510894e-16,1.5574289836979884e-16,true
L1,5,3,32,-6.661338147750939e-16,63.989354956612964,1.860188900582017e-15,6.088131481728501e-16,true
L2,7,4,72,-4.692427002517263e-16,63.30648446840694,2.6875147469437273e-15,8.565859410338936e-16,true
L3,9,5,128,-1.9922214919421144e-16,87.53862266163057,3.094943131049567e-15,1.0649805578866642e-15,true
