level,hull_nx,hull_nz,free_surface_nx,free_surface_ny_half,hull_panels,free_surface_panels,total_panels,pressure_resistance_N,pressure_coefficient_raw,far_field_resistance_N,far_field_coefficient_raw,force_discrepancy_N,matrix_condition,bem_residual,hull_impermeability_residual,free_surface_kinematic_residual,free_surface_dynamic_residual,eta_min_m,eta_max_m,mesh_converged,accepted
L0,3,2,5,2,8,20,28,-5.727976193306778e-05,-7.818039532388204e-07,nan,nan,nan,127.1200472199465,4.3818026319699554e-16,1.132675624507628e-16,7.503454958801652e-17,1.3588135617673793e-12,-3.705205148934192e-05,7.616668355258747e-05,true,false
L1,5,3,7,3,32,64,96,0.00036119098006318073,4.929848284243297e-06,nan,nan,nan,758.7617560375857,4.819123575119079e-15,1.4300029759408803e-15,4.381340691371516e-16,7.14543766456409e-13,-0.0005499430804179473,0.0007470898542589893,true,false
L2,7,4,9,3,72,96,168,0.004032470820784208,5.503866501214067e-05,nan,nan,nan,4163.087308971784,9.834269762462963e-15,1.394606862675017e-15,9.30719364220485e-16,8.744701294076903e-13,-0.00036129670785384205,0.0007789500987598341,true,false
L3,9,5,11,4,128,180,308,0.0013520354418965887,1.845375430555908e-05,nan,nan,nan,27422.567387308343,8.642212197289547e-15,2.65293868927646e-15,4.2202078048183665e-16,1.0017725774883432e-12,-0.0005003721205823486,0.0008588832004112444,true,false
