iteration,bem,hull_impermeability,free_surface_kinematic,free_surface_dynamic,nonlinear_update,waterline,geometry,force_balance
0,2.325131956336662e-16,1.1817582349029586e-16,0.0012762352625458424,1.330917137166348,15.106595210150319,0.0,0.0003392437950911494,
1,2.8928404002316234e-16,1.1817582349029586e-16,0.08255691529986814,65.23904704602062,0.2689759624007157,0.0,1.6238372646743757e-05,
2,2.7848541117182694e-16,8.863186761772189e-17,0.0863640592577341,62.31787759188611,0.22345966382035942,0.0,1.952172431962046e-05,
3,2.6974871153794856e-16,1.0340384555400888e-16,0.08974925866120173,56.975427887856256,0.18415991582089564,0.0,2.6941070491192556e-05,
4,2.8782017292277766e-16,1.477197793628698e-16,0.09275942064415839,51.537327567096376,0.15275173633810032,0.0,3.3955912193932114e-05,
5,3.050513879658247e-16,1.1817582349029586e-16,0.09543622382468843,46.82278608182742,0.12808870023753643,0.0,4.056937136253575e-05,
6,3.239871198406322e-16,1.1817582349029586e-16,0.09781670237567512,42.93716535285027,0.10862399608405948,0.0,4.67888336752549e-05,
7,3.1964205540834313e-16,1.3294780142658284e-16,0.09993376475990912,39.77096812671368,0.09306428667998119,0.0,5.262466697275519e-05,
