fn,speed_m_s,wave_resistance_N,c_wave_coarse,c_wave_medium,c_wave_fine,fine_kochin_tail_fraction
0.15,1.4854279686339555,47.93316863014455,0.0021233278699303603,0.0019650608441232607,0.0019506364500282574,0.0005095837597707021
0.175,1.7329992967396146,82.46998686475962,0.0026875543346286186,0.0025508543980721984,0.002465713099082948,0.00042618554950707194
0.2,1.9805706248452741,133.28827268956678,0.003268568297556313,0.0031033493969485964,0.00305108750174847,0.0003402123322964012
0.225,2.228141952950933,233.3940869425036,0.004359852633246781,0.004221624970825409,0.0042213127265124,0.0002411677877507033
0.25,2.4757132810565925,379.6862700325709,0.005666711801846653,0.005582085045387996,0.005562468821988362,0.00018414739921345858
0.275,2.723284609162252,629.0399822944361,0.007703832575928498,0.007627398510042841,0.007616151547235537,0.00014074741825856866
0.3,2.970855937267911,745.6511841906753,0.007598827049628615,0.00757738392494116,0.007586053772660214,0.0001412049092388984
0.325,3.2184272653735704,1515.5403890506263,0.013133283073929665,0.013110571190638949,0.01313782604455595,8.135117090851981e-05
0.35,3.4659985934792292,3069.50497727152,0.02290058737845989,0.022880697505474144,0.02294325159336484,4.761396136085702e-05
0.375,3.713569921584889,4875.766525468544,0.031636876306068866,0.0316611423586082,0.031747028383766224,3.519787063672499e-05
0.4,3.9611412496905483,6456.86485383272,0.03681177549780171,0.03684425858202927,0.036950849573036064,2.96540370349538e-05
0.425,4.2087125777962076,7612.667695862062,0.03842984047705022,0.0384777779423843,0.03859061740682152,2.763986607103634e-05
0.45,4.456283905901866,8334.613861094494,0.03752709793470049,0.037575482517039384,0.037686271344003826,2.9856547933495926e-05
