fn,c_wave_kochin
0.150,0.0019506364500282607
0.175,0.002465713099082955
0.200,0.0030510875017484705
0.225,0.004221312726512402
0.250,0.005562468821988361
0.275,0.0076161515472355345
0.300,0.007586053772660212
0.325,0.013137826044555947
0.350,0.02294325159336484
0.375,0.031747028383766224
0.400,0.03695084957303607
0.425,0.03859061740682153
0.450,0.037686271344003826
