station_index,point_index,x_m,z_m,half_breadth_m
1,40,-0.49961451812036145,-3.907146036764897e-05,0.0
2,0,-0.498458666866564,-0.0,0.00017883771655191567
2,1,-0.498458666866564,-2.6902871385051776e-07,0.00017883162035812515
2,2,-0.498458666866564,-1.074456203920049e-06,0.00017878552188728354
2,3,-0.498458666866564,-2.4113167419005148e-06,0.00017865488390080873
2,4,-0.498458666866564,-4.271368138024005e-06,0.00017839391287129383
2,5,-0.498458666866564,-6.64314255690357e-06,0.00017795714245514953
2,6,-0.498458666866564,-9.512017220551789e-06,0.00017730049816265276
2,7,-0.498458666866564,-1.286030456266964e-05,0.0001763821487837006
2,8,-0.498458666866564,-1.6667361278374446e-05,0.0001751632232766475
2,9,-0.498458666866564,-2.090971559703906e-05,0.00017360842359578763
2,10,-0.498458666866564,-2.5561211993562937e-05,0.00017168654814823925
2,11,-0.498458666866564,-3.059317244588201e-05,0.00016937093429124134
2,12,-0.498458666866564,-3.597457324451108e-05,0.00016663982545879694
2,13,-0.498458666866564,-4.167223626402924e-05,0.0001634766671258359
2,14,-0.498458666866564,-4.765103351725594e-05,0.00015987033510755214
2,15,-0.498458666866564,-5.387410373097322e-05,0.00015581529933049684
2,16,-0.498458666866564,-6.0303079607932654e-05,0.00015131172605977955
2,17,-0.498458666866564,-6.689832437400137e-05,0.0001463655215598965
2,18,-0.498458666866564,-7.361917615205514e-05,0.00014098832027674695
2,19,-0.498458666866564,-8.042419865597223e-05,0.00013519742084397839
2,20,-0.498458666866564,-8.72714366591164e-05,0.00012901567353681745
2,21,-0.498458666866564,-9.411867466226057e-05,0.00012247132322839986
2,22,-0.498458666866564,-0.00010092369716617768,0.00011559781246460003
2,23,-0.498458666866564,-0.00010764454894423144,0.00010843354999460129
2,24,-0.498458666866564,-0.00011423979371030018,0.00010102165102799709
2,25,-0.498458666866564,-0.00012066876958725959,9.340965672001538e-05
2,26,-0.498458666866564,-0.00012689183980097688,8.564924205264295e-05
2,27,-0.498458666866564,-0.00013287063705420357,7.779592360763187e-05
2,28,-0.498458666866564,-0.00013856830007372172,6.990878209624106e-05
2,29,-0.498458666866564,-0.00014394970087235078,6.205021956914931e-05
2,30,-0.498458666866564,-0.00014898166132466987,5.428577912769551e-05
2,31,-0.498458666866564,-0.00015363315772119377,4.668406781266894e-05
2,32,-0.498458666866564,-0.00015787551203985838,3.9316845253933904e-05
2,33,-0.498458666866564,-0.00016168256875556317,3.22593800070914e-05
2,34,-0.498458666866564,-0.00016503085609768104,2.5591250693061636e-05
2,35,-0.498458666866564,-0.00016789973076132927,1.939792419761241e-05
2,36,-0.498458666866564,-0.00017027150518020883,1.3773796392673806e-05
2,37,-0.498458666866564,-0.0001721315565763323,8.828299378772917e-06
2,38,-0.498458666866564,-0.0001734684171143128,4.6995793780464464e-06
2,39,-0.498458666866564,-0.00017427384460438233,1.592925905849988e-06
2,40,-0.498458666866564,-0.00017454287331823283,0.0
3,0,-0.49653422847746315,-0.0,0.0004805900993502734
3,1,-0.49653422847746315,-6.454282187285558e-07,0.0004805739175394186
3,2,-0.49653422847746315,-2.5777335953190798e-06,0.00048045128570520934
3,3,-0.49653422847746315,-5.7850028245681945e-06,0.0004801033010623579
3,4,-0.49653422847746315,-1.0247462025152285e-05,0.0004794075135351268
3,5,-0.49653422847746315,-1.59375986521815e-05,0.0004782422189102775
3,6,-0.49653422847746315,-2.2820331121187766e-05,0.000476489336593849
3,7,-0.49653422847746315,-3.085322509775887e-05,0.00047403670683440665
3,8,-0.49653422847746315,-3.9986755119320954e-05,0.00047078002284147786
