x_m,z_m,half_breadth_m
0,0,0
0,6.24651316307e-05,0
0,0.000249822899863,0
0,0.000561960447384,0
0,0.000998689754205,0
0,0.00155974775092,0
0,0.00224479647718,0
0,0.00305342328524,0
0,0.00398514108855,0
0,0.00503938865514,0
0,0.0062155309457,0
0,0.0075128594961,0
0,0.00893059284412,0
0,0.0104678770002,0
0,0.0121237859619,0
0,0.0138973222715,0
0,0.0157874176171,0
0,0.0177929334759,0
0,0.0199126618001,0
0,0.0221453257447,0
0,0.0244895804365,0
0,0.0269440137839,0
0,0.0295071473283,0
0,0.0321774371336,0
0,0.0349532747173,0
0,0.0378329880186,0
0,0.0408148424058,0
0,0.0438970417214,0
0,0.0470777293637,0
0,0.0503549894054,0
0,0.0537268477477,0
0,0.0571912733091,0
0,0.0607461792493,0
0,0.0643894242258,0
0,0.0681188136841,0
0,0.0719321011795,0
0,0.07582698973,0
0,0.0798011332006,0
0,0.0838521377157,0
0,0.0879775631017,0
0,0.0921749243567,0
0,0.0964416931472,0
0,0.100775299331,0
0,0.105173132506,0
0,0.109632543582,0
0,0.114150846377,0
0,0.118725319233,0
0,0.12335320666,0
0,0.128031720991,0
0,0.132758044063,0
0,0.137529328917,0
0,0.14234270151,0
0,0.147195262445,0
0,0.152084088721,0
0,0.157006235492,0
0,0.16195873784,0
0,0.166938612565,0
0,0.171942859974,0
0,0.176968465698,0
0,0.182012402498,0
0,0.187071632096,0
0,0.192143107002,0
0,0.197223772347,0
0,0.20231056773,0
0,0.207400429055,0
0,0.212490290381,0
0,0.217577085764,0
0,0.222657751109,0
0,0.227729226015,0
0,0.232788455613,0
0,0.237832392413,0
0,0.242857998136,0
0,0.247862245546,0
0,0.252842120271,0
0,0.257794622619,0
0,0.26271676939,0
0,0.267605595666,0
0,0.272458156601,0
0,0.277271529193,0
0,0.282042814048,0
0,0.28676913712,0
0,0.291447651451,0
0,0.296075538878,0
0,0.300650011734,0
0,0.305168314528,0
0,0.309627725605,0
0,0.31402555878,0
0,0.318359164964,0
0,0.322625933754,0
0,0.326823295009,0
0,0.330948720395,0
0,0.33499972491,0
0,0.338973868381,0
0,0.342868756931,0
0,0.346682044427,0
0,0.350411433885,0
0,0.354054678862,0
0,0.357609584802,0
0,0.361074010363,0
0,0.364445868705,0
0,0.367723128747,0
0,0.370903816389,0
0,0.373986015705,0
0,0.376967870092,0
0,0.379847583394,0
0,0.382623420977,0
0,0.385293710783,0
0,0.387856844327,0
0,0.390311277674,0
0,0.392655532366,0
0,0.394888196311,0
0,0.397007924635,0
0,0.399013440494,0
0,0.400903535839,0
0,0.402677072149,0
0,0.404332981111,0
0,0.405870265267,0
0,0.407287998615,0
0,0.408585327165,0
0,0.409761469456,0
0,0.410815717022,0
0,0.411747434826,0
0,0.412556061634,0
0,0.41324111036,0
0,0.413802168357,0
0,0.414238897663,0
0,0.414551035211,0
0,0.414738392979,0
0,0.414800858111,0
0.0525,0,0.204668134549
0.0525,6.24651316307e-05,0.20466807065
0.0525,0.000249822899863,0.204667265256
0.0525,0.000561960447384,0.204664133365
0.0525,0.000998689754205,0.204656318555
0.0525,0.00155974775092,0.204640775206
0.0525,0.00224479647718,0.204613823349
0.0525,0.00305342328524,0.204571191533
0.0525,0.00398514108855,0.204508053148
0.0525,0.00503938865514,0.204419058679
0.0525,0.0062155309457,0.204298365213
0.0525,0.0075128594961,0.204139663905
0.0525,0.00893059284412,0.203936205817
0.0525,0.0104678770002,0.203680826341
0.0525,0.0121237859619,0.2033659683
0.0525,0.0138973222715,0.202983703752
0.0525,0.0157874176171,0.202525754447
0.0525,0.0177929334759,0.201983510863
