fn,speed_m_s,wave_resistance_N,c_wave_resistance,integral,quadrature_error,tail_fraction,cancellation_ratio,converged,validity_flags
0.165,1.0334138498201,0.7354470289801354,0.0005644024215363186,2.4444696678907522e-08,4.098153069760882e-22,1.482711015324558e-05,95289582.7129053,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.17,1.0647294210267697,0.562335142487163,0.000406539493074743,1.9840765961018214e-08,3.5381117478504374e-22,1.8443032334443516e-05,46176451.75322875,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.175,1.0960449922334392,0.6644012032052474,0.0004532728137461752,2.484116011227459e-08,3.2205153782652455e-22,1.3391898816634613e-05,126861241.04695375,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.18,1.127360563440109,1.1067691057059825,0.0007137027604565463,4.3779157981180584e-08,4.1490129688170126e-22,7.82187849852482e-06,111808076.60067838,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.185,1.1586761346467787,1.0644577581916284,0.000649815900189555,4.4477181137218924e-08,3.8797274378698425e-22,7.807679938062019e-06,74306482.69397141,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.19,1.1899917058534484,0.8195158568621457,0.00047430261407969764,3.611851860548649e-08,3.316996018163033e-22,9.624967693566639e-06,151070064.4589006,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.195,1.221307277060118,1.0883393939388804,0.0005979990383315289,5.052414100074792e-08,4.0785786562192507e-22,6.265510921250694e-06,168950342.67050463,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.2,1.2526228482667878,1.6986648533798694,0.00088726442475214,8.295318371395973e-08,4.2080123877421053e-22,3.899821999802754e-06,123344760.66228561,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.20500000000000002,1.2839384194734575,1.9816323835079668,0.0009851916621152557,1.0167078560208297e-07,5.536817620498893e-22,3.230882880649335e-06,366597565.0484932,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.21000000000000002,1.3152539906801273,1.747961231037922,0.000828130090934917,9.410999532380575e-08,4.55323492052101e-22,3.505614494847487e-06,33369877.570353884,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.21500000000000002,1.346569561886797,1.4264568451697395,0.0006447436544903616,8.05009348195297e-08,4.403312872247934e-22,4.099742115902147e-06,293389850.41880226,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.22,1.3778851330934665,1.5134588864689509,0.0006533270277151627,8.942961390624406e-08,5.002222793895518e-22,3.7076426955834624e-06,63397817.13912668,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.225,1.4092007043001362,2.116586845849394,0.0008735271654928337,1.3081769583252156e-07,5.771592439903466e-22,2.309479660086657e-06,75150720.9111761,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.23,1.440516275506806,2.9468145889318706,0.0011638647052423933,1.9031536390633104e-07,5.801692733144472e-22,1.61250832433129e-06,170781319.53136027,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.23500000000000001,1.4718318467134757,3.5975588759299115,0.001361060858044416,2.4255431277927236e-07,5.956041443102942e-22,1.279737347404123e-06,188213085.27435917,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.24000000000000002,1.5031474179201454,3.81604170466651,0.001384190894094883,2.683496061384758e-07,6.2727887207306325e-22,1.1637969829879926e-06,137037660.96539468,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.245,1.534462989126815,3.6076232372898978,0.0012557244946719203,2.6437398099023034e-07,5.771535247469982e-22,1.1836183545691497e-06,152014723.6518244,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.25,1.5657785603334846,3.179892124706151,0.0010630109269406326,2.426374152456322e-07,8.166865889979481e-22,1.2898238420731165e-06,119359591.65205587,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.255,1.5970941315401543,2.8130187559317315,0.0009038526297784831,2.2331523635615196e-07,5.732661064424874e-22,1.4022324595033267e-06,1080047992.7525835,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.26,1.628409702746824,2.73945510191794,0.0008466869187706914,2.2608734265609973e-07,5.656232320153465e-22,1.3885026850939968e-06,365420579.0033441,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.265,1.6597252739534938,3.076105677557138,0.0009151975785262168,2.637292899889205e-07,6.900057781130823e-22,1.1961332270118888e-06,421478277.1261923,True,"tail accuracy is controlled by the absolute, not relative, tolerance"
0.27,1.6910408451601635,3.8134669061553974,0.0010929437540519525,3.3940081167760504e-07,7.8946458352983095e-22,8.617881220288236e-07,62938355.76383514,True,
0.275,1.7223564163668332,4.844470682400367,0.0013384011567495711,4.472775352750634e-07,7.249282251954324e-22,6.537815443320333e-07,247311174.87626138,True,
0.28,1.753671987573503,6.010436603776118,0.0016017521550875994,5.752908277180889e-07,8.612242752914965e-22,5.081586365452331e-07,316577027.09177786,True,
0.28500000000000003,1.7849875587801727,7.146005540675792,0.0018381416999859333,7.086282062852823e-07,1.2000880131059592e-21,4.124333636458258e-07,107627524.69314137,True,
0.29000000000000004,1.8163031299868424,8.112695800872077,0.0020154617242222127,8.329646174385696e-07,1.2160695675284852e-21,3.507924570276968e-07,183962330.59538025,True,
0.29500000000000004,1.8476187011935121,8.817747721894088,0.0021169909253975668,9.368435427969418e-07,1.0780513623520556e-21,3.1185110206038805e-07,287398698.69746125,True,
